Breed,Abbreviation
American,AM
American Chinchilla,AC
American Fuzzy Lop,AF
American Sable,AS
Argente Brun,AB
Belgian Hare,BH
Beveren,BV
Blanc de Hotot,HT
Britannia Petite,BP
Californian,CA
Cavy,CV
Abyssinian,YV
Abyssinian Satin,YX
American,AV
American Satin,AX
Coronet,CT
Peruvian,PV
Peruvian Satin,PX
Silkie,SV
Silkie Satin,SX
Teddy,TV
Teddy Satin,TX
Texel,TL
White Crested,WC
Champagne d'Argente,CD
Checkered Giant,CG
Cinnamon,CN
Creme d'Argent,CR
Dutch,DT
Dwarf Hotot,DH
English Angora,EA
English Lop,EL
English Spot,ES
Flemish Giant,FG
Florida White,FW
French Angora,FA
French Lop,FL
Giant Angora,GA
Giant Chinchilla,GC
Harlequin,HR
Havana,HV
Himalayan,HM
Holland Lop,HL
Jersey Wooly,JW
Lilac,LC
Lionhead,LH
Mini Lop,ML
Mini Rex,MR
Mini Satin,MS
Netherland Dwarf,ND
New Zealand,NZ
Palomino,PA
Polish,PO
Rex,RX
Rhinelander,RH
Satin,ST
Satin Angora,SA
Silver,SL
Silver Fox,SF
Silver Marten,SM
Standard Chinchilla,SC
Tan,TN
Thrianta,TH
